"PIXEL","GAL_LON","GAL_LAT","WEIGHT","TEMP","TEMP_SIG","RESID_TE"
"383","1.371121E+02","4.064620E+00","7.534529E-01","2.727218E+00","1.809693E-04","6.630421E-04"
"384","9.742544E+01","9.971021E+00","1.414073E+00","2.726248E+00","1.320983E-04","2.236366E-04"
"385","9.962164E+01","1.019409E+01","7.839097E-01","2.726183E+00","1.774189E-04","1.277924E-04"
"386","9.762720E+01","1.282218E+01","1.693394E+00","2.726232E+00","1.207130E-04","6.294250E-05"
"387","9.978728E+01","1.262287E+01","6.917160E-01","2.726756E+00","1.888727E-04","5.774498E-04"
"388","1.026877E+02","9.916390E+00","1.014323E+00","2.726170E+00","1.559713E-04","9.536743E-05"
"389","1.052961E+02","9.906857E+00","2.302541E+00","2.726192E+00","1.035212E-04","8.535385E-05"
"390","1.029285E+02","1.268243E+01","1.693919E+00","2.726338E+00","1.206943E-04","1.223087E-04"
"391","1.051950E+02","1.255247E+01","3.284003E+00","2.726331E+00","8.668246E-05","9.417534E-05"
"392","9.783295E+01","1.546156E+01","1.775018E+00","2.726310E+00","1.179048E-04","4.053116E-06"
"393","1.000705E+02","1.531563E+01","1.203495E+00","2.726257E+00","1.431894E-04","-6.246567E-05"
"394","9.802988E+01","1.801981E+01","1.750850E+00","2.726421E+00","1.187158E-04","-2.145767E-05"
"395","1.006138E+02","1.837259E+01","2.574106E+00","2.726543E+00","9.790836E-05","5.817413E-05"
"396","1.031121E+02","1.536384E+01","3.467932E+00","2.726408E+00","8.435245E-05","5.388260E-05"
"397","1.053532E+02","1.535958E+01","3.503856E+00","2.726444E+00","8.391892E-05","6.127357E-05"
"398","1.030634E+02","1.799230E+01","5.752203E+00","2.726497E+00","6.549617E-05","5.245209E-06"
"399","1.056404E+02","1.770407E+01","2.193753E+00","2.726381E+00","1.060569E-04","-1.273155E-04"
"400","1.073211E+02","9.773964E+00","2.022796E+00","2.726340E+00","1.104478E-04","2.107620E-04"
"401","1.102428E+02","9.947110E+00","1.451700E+00","2.726494E+00","1.303751E-04","3.108978E-04"
"402","1.079150E+02","1.253907E+01","2.267327E+00","2.726435E+00","1.043220E-04","1.606941E-04"
"403","1.103678E+02","1.224415E+01","2.033097E+00","2.726243E+00","1.101676E-04","-5.483627E-05"
"404","1.127534E+02","9.641727E+00","2.102672E+00","2.726181E+00","1.083296E-04","-3.004074E-05"
"405","1.152765E+02","9.498610E+00","1.663309E+00","2.726443E+00","1.217998E-04","1.916885E-04"
"406","1.130638E+02","1.204707E+01","1.690516E+00","2.726389E+00","1.208157E-04","5.435944E-05"
"407","1.157081E+02","1.218208E+01","1.732133E+00","2.726401E+00","1.193555E-04","9.536743E-06"
"408","1.080813E+02","1.495759E+01","2.217072E+00","2.726578E+00","1.054977E-04","1.778603E-04"
"409","1.107096E+02","1.479638E+01","1.380601E+00","2.726591E+00","1.336900E-04","1.585484E-04"
